10.126936	19.926250	17:29 2017-12-05
10.159152	20.009692	11:20 2017-12-06
10.116717	19.973201	14:58
10.173360	21.756706	09:45 2017-12-13
10.117599	21.661541	11:32
10.077227	19.835475	12:05
10.136627	19.943866	18:40 2017-12-14
10.151124	20.018256	09:45 2017-12-15
10.115699	19.878478	11:38 2017-12-15
10.119698	19.914037	14:35 
10.133327	19.903713	15:16
10.120276	19.843852	16:00
10.110206	20.074005	09:42 2017-12-20
10.147742	20.045701	11:41
10.131641	20.136461   13:06
10.117896	20.024743	13:31
10.124644	19.830413	11:17 2018-01-18
10.167053	20.580515	16:33 2018-01-19
10.216261	20.409141	09:32 2018-01-22
10.126327	20.244135	11:36
10.194686	20.203838	13:50
10.270173	20.203318	13:15 2018-01-23
10.165232	20.221520	13:53 2018-01-24
10.152601	20.442566	09:44 2018-02-14
10.160458	20.343020	12:17
10.139873	20.420004	14:36
10.183394	20.343887	15:58
10.102364	20.117633	11:41 2018-04-04
10.074513	20.076158	17:02
10.090072	20.100472	11:37 2018-04-06
10.121268	19.943641	09:36 2018-05-23
10.180149	20.077878	14:04
10.168410	19.901108	10:48 2018-05-24
10.172687	19.781518	12:39 2018-05-25
10.347036	21.670271	16:04 2018-05-29
10.216154	20.500182	08:35 2018-05-30
10.155308	20.520725	10:45
10.092331	20.528242	16:40
10.130847	20.408541	11:40 2018-06-01
10.058405	20.446892	15:54 2018-06-05
10.060140	20.395377	08:32 2018-06-06
13.095993	20.342358	08:35 nach kurzer Unterbrechenung für 2 SFs
10.492197	20.450523	08:37
10.052198	20.558324	08:42
10.271209	20.636584	13:09
10.229718	20.563656	14:01
